"Title","City","County","State","Group","Ideology","Year","City_State_HG"
"World Church of the Creator","Hillsboro","Washington","Oregon","","Neo-Nazi",2001,"Hillsboro, Oregon"
"World Church of the Creator","Ionia","Ionia","Michigan","","Neo-Nazi",2001,"Ionia, Michigan"
"World Church of the Creator","Island Heights","Ocean","New Jersey","","Neo-Nazi",2001,"Island Heights, New Jersey"
"World Church of the Creator","Jersey City","Hudson","New Jersey","","Neo-Nazi",2001,"Jersey City, New Jersey"
"World Church of the Creator","Joliet","Will","Illinois","","Neo-Nazi",2001,"Joliet, Illinois"
"World Church of the Creator","Lake Butler","Orange","Florida","","Neo-Nazi",2001,"Lake Butler, Florida"
"World Church of the Creator","Lake Panasoffkee","Sumter","Florida","","Neo-Nazi",2001,"Lake Panasoffkee, Florida"
"World Church of the Creator","La Marque","Galveston","Texas","","Neo-Nazi",2001,"La Marque, Texas"
"World Church of the Creator","Landing","Morris","New Jersey","","Neo-Nazi",2001,"Landing, New Jersey"
"World Church of the Creator","Lisbon","Columbiana","Ohio","","Neo-Nazi",2001,"Lisbon, Ohio"
"World Church of the Creator","Madison","Madison","Florida","","Neo-Nazi",2001,"Madison, Florida"
"World Church of the Creator","Mattoon","Coles","Illinois","","Neo-Nazi",2001,"Mattoon, Illinois"
"World Church of the Creator","Mesa","Maricopa","Arizona","","Neo-Nazi",2001,"Mesa, Arizona"
"World Church of the Creator","Middlebury","New Haven","Connecticut","","Neo-Nazi",2001,"Middlebury, Connecticut"
"World Church of the Creator","Midway","Madison","Texas","","Neo-Nazi",2001,"Midway, Texas"
"World Church of the Creator","Milton","Santa Rosa","Florida","","Neo-Nazi",2001,"Milton, Florida"
"World Church of the Creator","Milwaukee","Milwaukee","Wisconsin","","Neo-Nazi",2001,"Milwaukee, Wisconsin"
"World Church of the Creator","Missoula","Missoula","Montana","","Neo-Nazi",2001,"Missoula, Montana"
"World Church of the Creator","Monticello","Jefferson","Florida","","Neo-Nazi",2001,"Monticello, Florida"
"World Church of the Creator","Montville","Morris","New Jersey","","Neo-Nazi",2001,"Montville, New Jersey"
"World Church of the Creator","Mt. Holly","Burlington","New Jersey","","Neo-Nazi",2001,"Mt. Holly, New Jersey"
"World Church of the Creator","New Berlin","Waukesha","Wisconsin","","Neo-Nazi",2001,"New Berlin, Wisconsin"
"World Church of the Creator","New York","Queens","New York","","Neo-Nazi",2001,"New York, New York"
"World Church of the Creator","Bayport","Washington","Minnesota","","Neo-Nazi",2001,"Bayport, Minnesota"
"World Church of the Creator","Okeechobee","Okeechobee","Florida","","Neo-Nazi",2001,"Okeechobee, Florida"
"World Church of the Creator","Orange Cove","Fresno","California","","Neo-Nazi",2001,"Orange Cove, California"
"World Church of the Creator","Park Ridge","Cook","Illinois","","Neo-Nazi",2001,"Park Ridge, Illinois"
"World Church of the Creator","Peabody","Essex","Massachusetts","","Neo-Nazi",2001,"Peabody, Massachusetts"
"World Church of the Creator","Philadelphia","Philadelphia","Pennsylvania","","Neo-Nazi",2001,"Philadelphia, Pennsylvania"
"World Church of the Creator","Phoenix","Maricopa","Arizona","","Neo-Nazi",2001,"Phoenix, Arizona"
"World Church of the Creator","Pittsburgh","Allegheny","Pennsylvania","","Neo-Nazi",2001,"Pittsburgh, Pennsylvania"
"World Church of the Creator","Pontiac","Livingston","Illinois","","Neo-Nazi",2001,"Pontiac, Illinois"
"World Church of the Creator","Pound","Wise","Virginia","","Neo-Nazi",2001,"Pound, Virginia"
"World Church of the Creator","Punta Gorda","Charlotte","Florida","","Neo-Nazi",2001,"Punta Gorda, Florida"
"World Church of the Creator","Ramer","McNairy","Tennessee","","Neo-Nazi",2001,"Ramer, Tennessee"
"World Church of the Creator","Raymond","Hinds","Mississippi","","Neo-Nazi",2001,"Raymond, Mississippi"
"World Church of the Creator","Reading","Berks","Pennsylvania","","Neo-Nazi",2001,"Reading, Pennsylvania"
"World Church of the Creator","Rio Rancho","Sandoval","New Mexico","","Neo-Nazi",2001,"Rio Rancho, New Mexico"
"World Church of the Creator","Sierra Madre","Los Angeles","California","","Neo-Nazi",2001,"Sierra Madre, California"
"World Church of the Creator","Sleepy Hollow","Westchester","New York","","Neo-Nazi",2001,"Sleepy Hollow, New York"
"World Church of the Creator","Starke","Bradford","Florida","","Neo-Nazi",2001,"Starke, Florida"
"World Church of the Creator","Sterling","Worcester","Massachusetts","","Neo-Nazi",2001,"Sterling, Massachusetts"
"World Church of the Creator","Superior","Mineral","Montana","","Neo-Nazi",2001,"Superior, Montana"
"World Church of the Creator","Sutton","Worcester","Massachusetts","","Neo-Nazi",2001,"Sutton, Massachusetts"
"World Church of the Creator","Tehachapi","Kern","California","","Neo-Nazi",2001,"Tehachapi, California"
"World Church of the Creator","Tennessee Colony","Anderson","Texas","","Neo-Nazi",2001,"Tennessee Colony, Texas"
"World Church of the Creator","Trenton","Mercer","New Jersey","","Neo-Nazi",2001,"Trenton, New Jersey"
"World Church of the Creator","Tucson","Pima","Arizona","","Neo-Nazi",2001,"Tucson, Arizona"
"World Church of the Creator","Vidor","Orange","Texas","","Neo-Nazi",2001,"Vidor, Texas"
"World Church of the Creator","Wallingford","New Haven","Connecticut","","Neo-Nazi",2001,"Wallingford, Connecticut"
"World Church of the Creator","Wilmette","Cook","Illinois","","Neo-Nazi",2001,"Wilmette, Illinois"
"World Church of the Creator","Windsor","Shelby","Illinois","","Neo-Nazi",2001,"Windsor, Illinois"
"World Church of the Creator","Wrightsville","York","Pennsylvania","","Neo-Nazi",2001,"Wrightsville, Pennsylvania"
"World Church of the Creator","Youngstown","Mahoning","Ohio","","Neo-Nazi",2001,"Youngstown, Ohio"
"World Church of the Creator","Fort Wayne","Allen","Indiana","","Neo-Nazi",2001,"Fort Wayne, Indiana"
"World Church of the Creator","Hamilton Township","Atlantic","New Jersey","","Neo-Nazi",2001,"Hamilton Township, New Jersey"
"World Church of the Creator","Lynnwood","Snohomish","Washington","","Neo-Nazi",2001,"Lynnwood, Washington"
"14 Words Press","Napa","Napa","California","","White Nationalist ",2002,"Napa, California"
"88 Enterprises","Canton","Stark","Ohio","","General Hate ",2002,"Canton, Ohio"
"Alabama White Knights of the KKK","Anniston","Calhoun","Alabama","","Ku Klux Klan ",2002,"Anniston, Alabama"
"Alabama White Knights of the KKK","Birmingham","Jefferson","Alabama","","Ku Klux Klan ",2002,"Birmingham, Alabama"
"Alabama White Knights of the KKK","Clanton","Chilton","Alabama","","Ku Klux Klan ",2002,"Clanton, Alabama"
"Alabama White Knights of the KKK","Sylacauga","Talladega","Alabama","","Ku Klux Klan ",2002,"Sylacauga, Alabama"
"Alabama White Knights of the KKK","Wilton","Shelby","Alabama","","Ku Klux Klan ",2002,"Wilton, Alabama"
"America's Invisible Empire Knights of the KKK","Danville","Morgan","Alabama","","Christian Identity ",2002,"Danville, Alabama"
"America's Invisible Empire Knights of the KKK","Erwin","Unicoi","Tennessee","","Christian Identity ",2002,"Erwin, Tennessee"
"America's Invisible Empire Knights of the KKK","Hartselle","Morgan","Alabama","","Christian Identity ",2002,"Hartselle, Alabama"
"America's Invisible Empire Knights of the KKK","Longville","Beauregard","Louisiana","","Christian Identity ",2002,"Longville, Louisiana"
"America's Promise Ministries","Sandpoint","Bonner","Idaho","","Christian Identity ",2002,"Sandpoint, Idaho"
"American Immigration Control Foundation / Americans for Immigration Control","Monterey","Highland","Virginia","","Anti-Immigrant",2002,"Monterey, Virginia"
"American Knights of the Ku Klux Klan","Amherst","Erie","New York","","Ku Klux Klan ",2002,"Amherst, New York"
"American Knights of the Ku Klux Klan","Butler","DeKalb","Indiana","","Ku Klux Klan ",2002,"Butler, Indiana"
"American Knights of the Ku Klux Klan","Cedarville","Crawford","Arkansas","","Ku Klux Klan ",2002,"Cedarville, Arkansas"
"American Knights of the Ku Klux Klan","Cokeburg","Washington","Pennsylvania","","Ku Klux Klan ",2002,"Cokeburg, Pennsylvania"
"American Knights of the Ku Klux Klan","Collinsville","Tulsa","Oklahoma","","Ku Klux Klan ",2002,"Collinsville, Oklahoma"
"American Knights of the Ku Klux Klan","Goshen","Elkhart","Indiana","","Ku Klux Klan ",2002,"Goshen, Indiana"
"American Knights of the Ku Klux Klan","Hillsboro","Coffee","Tennessee","","Ku Klux Klan ",2002,"Hillsboro, Tennessee"
"American Knights of the Ku Klux Klan","Mauriceville","Orange","Texas","","Ku Klux Klan ",2002,"Mauriceville, Texas"
"American Knights of the Ku Klux Klan","Port Lavaca","Calhoun","Texas","","Ku Klux Klan ",2002,"Port Lavaca, Texas"
"American Knights of the Ku Klux Klan","Riesel","McLennan","Texas","","Ku Klux Klan ",2002,"Riesel, Texas"
"American Knights of the Ku Klux Klan","San Antonio","Bexar","Texas","","Ku Klux Klan ",2002,"San Antonio, Texas"
"American Knights of the Ku Klux Klan","Victoria","Victoria","Texas","","Ku Klux Klan ",2002,"Victoria, Texas"
"American Knights of the Ku Klux Klan","Watts","Adair","Oklahoma","","Ku Klux Klan ",2002,"Watts, Oklahoma"
"American Knights of the Ku Klux Klan","Welsh","Jefferson Davis","Louisiana","","Ku Klux Klan ",2002,"Welsh, Louisiana"
"American Nazi Party","Eastpointe","Macomb","Michigan","","Neo-Nazi",2002,"Eastpointe, Michigan"
"American Third Position","Clifton","Passaic","New Jersey","","White Nationalist ",2002,"Clifton, New Jersey"
"American White Knights of the KKK","Cordele","Crisp","Georgia","","Ku Klux Klan ",2002,"Cordele, Georgia"
"American White Knights of the KKK","Lucedale","George","Mississippi","","Ku Klux Klan ",2002,"Lucedale, Mississippi"
"American White Knights of the KKK","Munford","Talladega","Alabama","","Ku Klux Klan ",2002,"Munford, Alabama"
"American White Knights of the KKK","Shelby","Shelby","Alabama","","Ku Klux Klan ",2002,"Shelby, Alabama"
"American White Knights of the KKK","Somerset","Bexar","Texas","","Ku Klux Klan ",2002,"Somerset, Texas"
"Americans for Self Determination","Falls Church","Falls Church","Virginia","","White Nationalist ",2002,"Falls Church, Virginia"
"Artisan Publishers","Muskogee","Muskogee","Oklahoma","","General Hate ",2002,"Muskogee, Oklahoma"
"Aryan Covenant Church/ACC Services","Anderson","Grimes","Texas","","Christian Identity ",2002,"Anderson, Texas"
"Aryan Nations","Cumberland","Allegany","Maryland","","Neo-Nazi",2002,"Cumberland, Maryland"
"Aryan Nations","Hampton Beach","Rockingham","New Hampshire","","Neo-Nazi",2002,"Hampton Beach, New Hampshire"
"Aryan Nations","Hayden Lake","Kootenai","Idaho","","Neo-Nazi",2002,"Hayden Lake, Idaho"
"Aryan Nations","Hurst","Tarrant","Texas","","Neo-Nazi",2002,"Hurst, Texas"
"Aryan Nations","Lavale","Allegany","Maryland","","Neo-Nazi",2002,"Lavale, Maryland"
"Aryan Nations","Magnolia","Columbia","Arkansas","","Neo-Nazi",2002,"Magnolia, Arkansas"
"Aryan Nations","Mercer","Iron","Wisconsin","","Neo-Nazi",2002,"Mercer, Wisconsin"
"Aryan Nations","Rapid City","Pennington","South Dakota","","Neo-Nazi",2002,"Rapid City, South Dakota"
"Aryan Nations","Reno","Washoe","Nevada","","Neo-Nazi",2002,"Reno, Nevada"
"Aryan Nations","Sunland","Los Angeles","California","","Neo-Nazi",2002,"Sunland, California"
"Aryan Nations","Westwego","Jefferson","Louisiana","","Neo-Nazi",2002,"Westwego, Louisiana"
"Aryan Nations","Brookland","Craighead","Arkansas","","Neo-Nazi",2002,"Brookland, Arkansas"
"Aryan Nations","Bryans Road","Charles","Maryland","","Neo-Nazi",2002,"Bryans Road, Maryland"
"Aryan Nations","Huffman","Harris","Texas","","Neo-Nazi",2002,"Huffman, Texas"
"Aryan Nations","Leola","Lancaster","Pennsylvania","","Neo-Nazi",2002,"Leola, Pennsylvania"
"Aryan Nations","Long Beach","Los Angeles","California","","Neo-Nazi",2002,"Long Beach, California"
"Aryan Nations","North Bergen","Hudson","New Jersey","","Neo-Nazi",2002,"North Bergen, New Jersey"
"Aryan Nations","Oviedo","Seminole","Florida","","Neo-Nazi",2002,"Oviedo, Florida"
"Aryan Nations","Prospect","Jefferson","Kentucky","","Neo-Nazi",2002,"Prospect, Kentucky"
"Aryan Nations","Suffolk","Suffolk","Virginia","","Neo-Nazi",2002,"Suffolk, Virginia"
"Aryan Nations","Ulysses","Potter","Pennsylvania","","Neo-Nazi",2002,"Ulysses, Pennsylvania"
"Aryan Nations","Wantagh","Nassau","New York","","Neo-Nazi",2002,"Wantagh, New York"
"Aryan Nations","Woodlawn","Montgomery","Tennessee","","Neo-Nazi",2002,"Woodlawn, Tennessee"
"Aryan Renaissance Society","Fort Worth","Tarrant","Texas","","Neo-Nazi",2002,"Fort Worth, Texas"
"Aryan Renaissance Society","Livingston","Essex","New Jersey","","Neo-Nazi",2002,"Livingston, New Jersey"
"Aryan Werwulfe Brotherhood","Palm Beach","Palm Beach","Florida","","Neo-Nazi",2002,"Palm Beach, Florida"
"Bayou Knights of the KKK","Fulton","Itawamba","Mississippi","","Ku Klux Klan ",2002,"Fulton, Mississippi"
"Bayou Knights of the KKK","Homer","Claiborne","Louisiana","","Ku Klux Klan ",2002,"Homer, Louisiana"
"Blood and Honour","Coeur d'Alene","Kootenai","Idaho","","Racist Skinhead ",2002,"Coeur d'Alene, Idaho"
"Blood and Honour","Costa Mesa","Orange","California","","Racist Skinhead ",2002,"Costa Mesa, California"
"Blood and Honour","Kennesaw","Cobb","Georgia","","Racist Skinhead ",2002,"Kennesaw, Georgia"
"Blood and Honour","Laguna Niguel","Orange","California","","Racist Skinhead ",2002,"Laguna Niguel, California"
"Blood and Honour","Liberty","Clay","Missouri","","Racist Skinhead ",2002,"Liberty, Missouri"
"Blood and Honour","Powder Springs","Cobb","Georgia","","Racist Skinhead ",2002,"Powder Springs, Georgia"
"Blood and Honour","Richardson","Dallas","Texas","","Racist Skinhead ",2002,"Richardson, Texas"
"Blood and Honour","Salem","Columbiana","Ohio","","Racist Skinhead ",2002,"Salem, Ohio"
"Blood and Honour","San Antonio","Bexar","Texas","","Racist Skinhead ",2002,"San Antonio, Texas"
"Blood and Honour","Sherwood","Pulaski","Arkansas","","Racist Skinhead ",2002,"Sherwood, Arkansas"
"Blood and Honour","Traverse City","Grand Traverse","Michigan","","Racist Skinhead ",2002,"Traverse City, Michigan"
"Blood and Honour","Wheatland","Mercer","Pennsylvania","","Racist Skinhead ",2002,"Wheatland, Pennsylvania"
"Bonnie Blue Knights of the Ku Klux Klan","Hiawassee","Towns","Georgia","","Ku Klux Klan ",2002,"Hiawassee, Georgia"
"Brotherhood of Klans","Omaha","Douglas","Nebraska","","Ku Klux Klan ",2002,"Omaha, Nebraska"
"Brotherhood of Klans","Prospect Heights","Cook","Illinois","","Ku Klux Klan ",2002,"Prospect Heights, Illinois"
"Brotherhood of Klans","Westfield","Marquette","Wisconsin","","Ku Klux Klan ",2002,"Westfield, Wisconsin"
"By Yahweh's Design","Stevensville","Berrien","Michigan","","Christian Identity ",2002,"Stevensville, Michigan"
"National Coalition for Immigration Reform (formerly California Coalition for Immigration Reform)","Huntington Beach","Orange","California","","Anti-Immigrant",2002,"Huntington Beach, California"
"Celtic Knights","Austin","Travis","Texas","","Racist Skinhead ",2002,"Austin, Texas"
"Charles Darwin Research Institute","Port Huron","St. Clair","Michigan","","White Nationalist ",2002,"Port Huron, Michigan"
"Occidental Quarterly/Charles Martel Society","Mount Airy","Carroll","Maryland","","White Nationalist ",2002,"Mount Airy, Maryland"
"Christian Defense League","Arabi","St. Bernard","Louisiana","","Neo-Nazi",2002,"Arabi, Louisiana"
"Christian Research","Eureka Springs","Carroll","Arkansas","","Christian Identity ",2002,"Eureka Springs, Arkansas"
"Christian Separatist Church Society","Kodak","Sevierville","Tennessee","","Christian Identity ",2002,"Kodak, Tennessee"
"Church of Christ in Israel","Essexville","Bay","Michigan","","Christian Identity ",2002,"Essexville, Michigan"
"Church of Jesus Christ Christian/Aryan Nations","Bergman","Boone","Arkansas","","Christian Identity ",2002,"Bergman, Arkansas"
"Church of the Sons of YHVH","Dayton","Montgomery","Ohio","","Christian Identity ",2002,"Dayton, Ohio"
"Church of True Israel","Noxon","Sanders","Montana","","Christian Identity ",2002,"Noxon, Montana"
"Confederate Crusaders","Homer","Claiborne","Louisiana","","Ku Klux Klan ",2002,"Homer, Louisiana"
"Confederate Hammerskins","Jacksonville","Duval","Florida","","Racist Skinhead ",2002,"Jacksonville, Florida"
"Confederate Knights of the KKK","Forest","Bedford","Virginia","","Ku Klux Klan ",2002,"Forest, Virginia"
"Confederate Knights of the KKK","Henderson","Vance","North Carolina","","Ku Klux Klan ",2002,"Henderson, North Carolina"
"Confederate Knights of the KKK","Lexington","Fayette","Kentucky","","Ku Klux Klan ",2002,"Lexington, Kentucky"
"Confederate Knights of the KKK","Sandston","Henrico","Virginia","","Ku Klux Klan ",2002,"Sandston, Virginia"
"Conservative Citizens Foundation, Inc.","Bridgeton","St. Louis","Missouri","","White Nationalist ",2002,"Bridgeton, Missouri"
"Council of Conservative Citizens","Atlanta","Fulton","Georgia","Council of Conservative Citizens","White Nationalist ",2002,"Atlanta, Georgia"
"Council of Conservative Citizens","Baton Rouge","East Baton Rouge","Louisiana","Council of Conservative Citizens","White Nationalist ",2002,"Baton Rouge, Louisiana"
"Council of Conservative Citizens","Birmingham","Jefferson","Alabama","Council of Conservative Citizens","White Nationalist ",2002,"Birmingham, Alabama"
"Council of Conservative Citizens","Byram","Hinds","Mississippi","Council of Conservative Citizens","White Nationalist ",2002,"Byram, Mississippi"
"Council of Conservative Citizens","Calhoun City","Calhoun","Mississippi","Council of Conservative Citizens","White Nationalist ",2002,"Calhoun City, Mississippi"
"Council of Conservative Citizens","Chattanooga","Hamilton","Tennessee","Council of Conservative Citizens","White Nationalist ",2002,"Chattanooga, Tennessee"
"Council of Conservative Citizens","Clemmons","Forsyth","North Carolina","Council of Conservative Citizens","White Nationalist ",2002,"Clemmons, North Carolina"
"Council of Conservative Citizens","Cleveland","Cuyahoga","Ohio","Council of Conservative Citizens","White Nationalist ",2002,"Cleveland, Ohio"
"Council of Conservative Citizens","Cleveland","Bradley","Tennessee","Council of Conservative Citizens","White Nationalist ",2002,"Cleveland, Tennessee"
"Council of Conservative Citizens","Falls Church","Falls Church","Virginia","Council of Conservative Citizens","White Nationalist ",2002,"Falls Church, Virginia"
"Council of Conservative Citizens","Grove City","Franklin","Ohio","Council of Conservative Citizens","White Nationalist ",2002,"Grove City, Ohio"
"Council of Conservative Citizens","Holly Springs","Marshall","Mississippi","Council of Conservative Citizens","White Nationalist ",2002,"Holly Springs, Mississippi"
"Council of Conservative Citizens","Jackson","Hinds","Mississippi","Council of Conservative Citizens","White Nationalist ",2002,"Jackson, Mississippi"
"Council of Conservative Citizens","Jacksonville","Duval","Florida","Council of Conservative Citizens","White Nationalist ",2002,"Jacksonville, Florida"
"Council of Conservative Citizens","Jasper","Walker","Alabama","Council of Conservative Citizens","White Nationalist ",2002,"Jasper, Alabama"
"Council of Conservative Citizens","Knoxville","Knox","Tennessee","Council of Conservative Citizens","White Nationalist ",2002,"Knoxville, Tennessee"
"Council of Conservative Citizens","Little Rock","Pulaski","Arkansas","Council of Conservative Citizens","White Nationalist ",2002,"Little Rock, Arkansas"
"Council of Conservative Citizens","Memphis","Shelby","Tennessee","Council of Conservative Citizens","White Nationalist ",2002,"Memphis, Tennessee"
"Council of Conservative Citizens","Mobile","Mobile","Alabama","Council of Conservative Citizens","White Nationalist ",2002,"Mobile, Alabama"
"Council of Conservative Citizens","Montgomery","Montgomery","Alabama","Council of Conservative Citizens","White Nationalist ",2002,"Montgomery, Alabama"
"Council of Conservative Citizens","Morganton","Burke","North Carolina","Council of Conservative Citizens","White Nationalist ",2002,"Morganton, North Carolina"
"Council of Conservative Citizens","Mount Sterling","Madison","Ohio","Council of Conservative Citizens","White Nationalist ",2002,"Mount Sterling, Ohio"
"Council of Conservative Citizens","New York","Queens","New York","Council of Conservative Citizens","White Nationalist ",2002,"New York, New York"
"Council of Conservative Citizens","New Orleans","Orleans","Louisiana","Council of Conservative Citizens","White Nationalist ",2002,"New Orleans, Louisiana"
"Council of Conservative Citizens","Paragon","Morgan","Indiana","Council of Conservative Citizens","White Nationalist ",2002,"Paragon, Indiana"
"Council of Conservative Citizens","Piney Woods","Rankin","Mississippi","Council of Conservative Citizens","White Nationalist ",2002,"Piney Woods, Mississippi"
"Council of Conservative Citizens","Raleigh","Wake","North Carolina","Council of Conservative Citizens","White Nationalist ",2002,"Raleigh, North Carolina"
"Council of Conservative Citizens","Saluda","Saluda","South Carolina","Council of Conservative Citizens","White Nationalist ",2002,"Saluda, South Carolina"
"Council of Conservative Citizens","St. Louis","St. Louis","Missouri","Council of Conservative Citizens","White Nationalist ",2002,"St. Louis, Missouri"
"Council of Conservative Citizens","St. Louis","St. Louis","Missouri","Council of Conservative Citizens","White Nationalist ",2002,"St. Louis, Missouri"
"Council of Conservative Citizens","Pinellas","Pinellas","Florida","Council of Conservative Citizens","White Nationalist ",2002,"Pinellas, Florida"
"Council of Conservative Citizens","Manatee","Manatee","Florida","Council of Conservative Citizens","White Nationalist ",2002,"Manatee, Florida"
"Council of Conservative Citizens","Hillsborough","Hillsborough","Florida","Council of Conservative Citizens","White Nationalist ",2002,"Hillsborough, Florida"
"Council of Conservative Citizens","Vaiden","Carroll","Mississippi","Council of Conservative Citizens","White Nationalist ",2002,"Vaiden, Mississippi"
"Council of Conservative Citizens","Webster","Webster","Mississippi","Council of Conservative Citizens","White Nationalist ",2002,"Webster, Mississippi"
"Covenant Church of Yahweh","Pipestone","Pipestone","Minnesota","","Christian Identity ",2002,"Pipestone, Minnesota"
"Crusade for Christ","North Little Rock","Pulaski","Arkansas","","Christian Identity ",2002,"North Little Rock, Arkansas"
"Diehard Records","Chesapeake","Lawrence","Ohio","","Hate Music ",2002,"Chesapeake, Ohio"
"Divine Knights of the Ku Klux Klan","Elizabethtown","Bladen","North Carolina","","Ku Klux Klan ",2002,"Elizabethtown, North Carolina"
"Eastern Hammerskins","Baltimore","Baltimore","Maryland","","Racist Skinhead ",2002,"Baltimore, Maryland"
"Empire State Skinheads","Corning","Steuben","New York","","Racist Skinhead ",2002,"Corning, New York"
"European American Culture Council","Sacramento","Sacramento","California","","General Hate ",2002,"Sacramento, California"
"European-American Unity and Rights Organization","Ames","Story","Iowa","","White Nationalist ",2002,"Ames, Iowa"
"European-American Unity and Rights Organization","Cheyenne","Laramie","Wyoming","","White Nationalist ",2002,"Cheyenne, Wyoming"
"European-American Unity and Rights Organization","Cleveland","Cuyahoga","Ohio","","White Nationalist ",2002,"Cleveland, Ohio"
"European-American Unity and Rights Organization","Columbia","Richland","South Carolina","","White Nationalist ",2002,"Columbia, South Carolina"
"European-American Unity and Rights Organization","Dallas","Dallas","Texas","","White Nationalist ",2002,"Dallas, Texas"
"European-American Unity and Rights Organization","Hanceville","Cullman","Alabama","","White Nationalist ",2002,"Hanceville, Alabama"
"European-American Unity and Rights Organization","Irving","Dallas","Texas","","White Nationalist ",2002,"Irving, Texas"
"European-American Unity and Rights Organization","Jacksonville","Duval","Florida","","White Nationalist ",2002,"Jacksonville, Florida"
"European-American Unity and Rights Organization","Joliet","Will","Illinois","","White Nationalist ",2002,"Joliet, Illinois"
"European-American Unity and Rights Organization","Mandeville","St. Tammany","Louisiana","","White Nationalist ",2002,"Mandeville, Louisiana"
"European-American Unity and Rights Organization","Novato","Marin","California","","White Nationalist ",2002,"Novato, California"
"European-American Unity and Rights Organization","Phoenix","Maricopa","Arizona","","White Nationalist ",2002,"Phoenix, Arizona"
"European-American Unity and Rights Organization","Pittsburgh","Allegheny","Pennsylvania","","White Nationalist ",2002,"Pittsburgh, Pennsylvania"
"European-American Unity and Rights Organization","Richmond","Richmond","Virginia","","White Nationalist ",2002,"Richmond, Virginia"
"European-American Unity and Rights Organization","Ripley","Tippah","Mississippi","","White Nationalist ",2002,"Ripley, Mississippi"
"European-American Unity and Rights Organization","Shreveport","Caddo","Louisiana","","White Nationalist ",2002,"Shreveport, Louisiana"
"European-American Unity and Rights Organization","Southaven","DeSoto","Mississippi","","White Nationalist ",2002,"Southaven, Mississippi"
"European-American Unity and Rights Organization","St. Louis","St. Louis","Missouri","","White Nationalist ",2002,"St. Louis, Missouri"
"European-American Unity and Rights Organization","Thibodaux","Lafourche","Louisiana","","White Nationalist ",2002,"Thibodaux, Louisiana"
"European-American Unity and Rights Organization","Tulsa","Tulsa","Oklahoma","","White Nationalist ",2002,"Tulsa, Oklahoma"
"European-American Unity and Rights Organization","Woodruff","Spartanburg","South Carolina","","White Nationalist ",2002,"Woodruff, South Carolina"
"Barnes Review/Foundation for Economic Liberty, Inc.","Washington","District of Columbia","District of Columbia","","Holocaust Denial",2002,"Washington, District of Columbia"
"Free Knights of the KKK","Hiram","Paulding","Georgia","","Ku Klux Klan ",2002,"Hiram, Georgia"
"Free Knights of the KKK","Madison","Rockingham","North Carolina","","Ku Klux Klan ",2002,"Madison, North Carolina"
"Georgia White Knights of the Ku Klux Klan","Rossville","Walker","Georgia","","Ku Klux Klan ",2002,"Rossville, Georgia"
"German American Nationalist PAC","Pensacola","Escambia","Florida","","Neo-Nazi",2002,"Pensacola, Florida"
"Gospel Broadcasting Association","Houston","Harris","Texas","","Christian Identity ",2002,"Houston, Texas"
"Gospel Ministries","Boise","Ada","Idaho","","Christian Identity ",2002,"Boise, Idaho"
"House of Yahweh","New Tazewell","Claiborne","Tennessee","","Christian Identity ",2002,"New Tazewell, Tennessee"
"Hypatia Publishing","Lynnwood","Snohomish","Washington","","White Nationalist ",2002,"Lynnwood, Washington"
"Imperial Klans of America Knights of the KKK","Amelia","Clermont","Ohio","","Ku Klux Klan ",2002,"Amelia, Ohio"
"Imperial Klans of America Knights of the KKK","Bankston","Fayette","Alabama","","Ku Klux Klan ",2002,"Bankston, Alabama"
"Imperial Klans of America Knights of the KKK","Baxter","Putnam","Tennessee","","Ku Klux Klan ",2002,"Baxter, Tennessee"
"Imperial Klans of America Knights of the KKK","Boothwyn","Delaware","Pennsylvania","","Ku Klux Klan ",2002,"Boothwyn, Pennsylvania"
"Imperial Klans of America Knights of the KKK","Center Point","Clay","Indiana","","Ku Klux Klan ",2002,"Center Point, Indiana"
"Imperial Klans of America Knights of the KKK","Churchville","Harford","Maryland","","Ku Klux Klan ",2002,"Churchville, Maryland"
"Imperial Klans of America Knights of the KKK","Colt","St. Francis","Arkansas","","Ku Klux Klan ",2002,"Colt, Arkansas"
"Imperial Klans of America Knights of the KKK","Crestview","Okaloosa","Florida","","Ku Klux Klan ",2002,"Crestview, Florida"
"Imperial Klans of America Knights of the KKK","Cunningham","Montgomery","Tennessee","","Ku Klux Klan ",2002,"Cunningham, Tennessee"
"Imperial Klans of America Knights of the KKK","Downsville","Union","Louisiana","","Ku Klux Klan ",2002,"Downsville, Louisiana"
"Imperial Klans of America Knights of the KKK","El Dorado","Union","Arkansas","","Ku Klux Klan ",2002,"El Dorado, Arkansas"
"Imperial Klans of America Knights of the KKK","Elyria","Lorain","Ohio","","Ku Klux Klan ",2002,"Elyria, Ohio"
"Imperial Klans of America Knights of the KKK","Fresh Meadows","Queens","New York","","Ku Klux Klan ",2002,"Fresh Meadows, New York"
"Imperial Klans of America Knights of the KKK","Gregory","Livingston","Michigan","","Ku Klux Klan ",2002,"Gregory, Michigan"
"Imperial Klans of America Knights of the KKK","Harrisonburg","Harrisonburg","Virginia","","Ku Klux Klan ",2002,"Harrisonburg, Virginia"
"Imperial Klans of America Knights of the KKK","Hildebran","Burke","North Carolina","","Ku Klux Klan ",2002,"Hildebran, North Carolina"
"Imperial Klans of America Knights of the KKK","Hometown","Putnam","West Virginia","","Ku Klux Klan ",2002,"Hometown, West Virginia"
